key,score
5487fa09dabfaed7b5fa33e9,96.52941176
53f32320dabfae9a84461be7,77.35294118
53f48c95dabfaea7cd1cf585,56.70588235
54482434dabfae87b7de00db,54.94117647
53f48cfedabfaea7cd1d0d8e,49.82352941
53f5a6fadabfae1352f8045b,47.05882353
54084ac2dabfae450f408e17,45.64705882
5405e588dabfae450f3df177,43.82352941
54100a8ddabfae450f4c7d1c,43.47058824
53f433e7dabfaedd74d87b8a,42.58823529
53f4e25ddabfaefc1777b3cd,41.64705882
53f4a45fdabfaeb22f573dc0,40.82352941
53f43600dabfaedce552bb22,39.05882353
5486a4d2dabfae9b40133f55,38.05882353
548519e7dabfae9b40133371,38
548669bfdabfaed7b5fa294b,37.58823529
548c9bc1dabfaed7b5fa44fa,36.88235294
5448a584dabfae87b7e5857d,36.41176471
548c9046dabfaed7b5fa4459,35.76470588
5434c911dabfaebba58657fe,34.94117647
53f43562dabfaee1c0a94d84,34.88235294
53f49d3edabfaebfa677b5cb,33.82352941
548743fcdabfae9b401344a3,33.47058824
53f59855dabfaee86cf8045b,32.76470588
53f4cf51dabfaeedd977cd3c,32.23529412
5448dae2dabfae87b7e8761f,32.11764706
53f456dbdabfaedd74e2fcc4,31.52941176
53f556d9dabfae963d25e9a9,31.52941176
54854d4edabfae8a11fb2816,29.88235294
53f4dd1fdabfaef96377b3c8,29.64705882
5405c7d3dabfae91d300c0c2,29
53f43605dabfaedce552be3f,28.94117647
53f42f2cdabfaeb22f41f2ea,28.64705882
544888c5dabfae87b7e3df59,28.35294118
5484b3eadabfae9b4013302e,28.17647059
54087b98dabfae450f41f3f8,27.76470588
53f5ad8fdabfae2ab3f8045b,27.58823529
544859d2dabfae87b7e108c9,26.64705882
53f48051dabfae963d25973f,26.29411765
53f64403dabfae045f7cf527,26
53f48320dabfaec09f2a482f,25.76470588
5433bb77dabfaeb4c6aca13a,25.47058824
560817fc45cedb3396bfad58,25.41176471
53f43eb4dabfaefedbb01906,25.29411765
53f437e0dabfaeee229b89b0,25.11764706
54337914dabfaeb4c6aba55b,24.76470588
53f7a9eedabfae92b40d3ee3,24.52941176
5487a42fdabfae8a11fb3c6d,24.47058824
53f356b0dabfae4b3495ec3a,24.11764706
53f43052dabfaedd74d5be13,24.05882353
53f4362bdabfaeb22f46ff7b,24.05882353
54328ee5dabfaeb54215cf8c,24
53f433a5dabfaeb22f45627d,23.88235294
5448c8fedabfae87b7e79d32,23.41176471
5405f596dabfae91d3020984,23.35294118
53f78482dabfae92b40c1d3e,22.94117647
54876368dabfae8a11fb3887,22.94117647
54059429dabfae91d3ff4244,22.82352941
53f4384fdabfaee2a1cf86d8,22.58823529
53f48d75dabfaea7cd1d2c41,22.58823529
53f43080dabfaedce54ecb59,22.52941176
53f556c4dabfaea7cd1d79b5,22.41176471
