cntid
5406518
5360662
5368551
5367185
5433065
5365141
5354823
5384472
5374087
5363887
5413352
5367184
5363693
5365908
5391268
5373180
5381747
5483435
5430300
5436597
5442333
5391425
5400457
5362240
5441363
5391291
5418315
5373038
5379375
5411960
5377874
5384116
5391774
5373828
5442415
5368969
5386053
5377619
5426867
5524268
5391439
5375336
5356753
5364878
5400908
5369998
5385373
5354557
5383313
5379423
5548249
5489643
5391000
5382081
5364344
5404163
5418103
5393368
5419680
5413512
5364018
5359305
5355024
5433040
5371663
5363124
5390206
5697328
5355920
5382905
5571218
5712391
5354895
5388974
5368341
5393647
5373240
5427630
5442060
5418489
5376193
5399106
5502383
5389158
5406837
5355659
5370894
5745924
5407498
5393378
5360811
5366153
5371815
5464656
5428226
5625301
5551483
5842087
5565997
5414546
5376131
5362777
5456666
5357180
5502384
5356602
5357181
5379254
5597077
5354892
5417544
5356896
5428242
5428737
5571217
5377053
5376035
5384968
5362836
5386249
5358690
5404513
5399856
5440452
5389143
5392091
5370413
5396361
5452311
5369939
5355254
5393250
5399107
5356836
5697329
5376355
5426705
5388678
5376268
5405372
5511686
5371900
5550447
5565295
5360648
5370893
5423241
5389308
5367891
5412693
5398535
5356814
5513201
5883708
5465968
5399024
5457271
5374149
5453759
5369576
5407259
5360741
5536960
5615204
5578650
5436479
5362750
5442765
5365066
5391295
5631402
5401711
5421769
5437015
5357056
5428224
5376342
5614302
5400260
5368783
5415170
5375143
5388563
5681758
5400130
5382390
5524266
5482492
5483141
5492276
5372115
5490486
5423505
5597397
5406073
5367417
5469969
5456011
5403163
5465762
5448941
5380764
5395187
5356251
5376034
5354931
5762978
5734819
5482510
5368076
5375089
5876089
5409978
5377809
5456477
5565995
5373645
5383472
5380282
5357292
5355634
5370010
5430799
5437164
5358343
5726673
5371793
5397502
5381688
5459607
5563966
5361533
5371669
5489480
5591044
5367900
5526777
5448801
5356276
5422605
5359801
5365030
5377554
5650493
5374422
5404826
5551257
5367872
5601648
5398536
5565982
5477767
5381884
5377293
5660273
5400986
5462887
5362461
5447744
5458263
5507074
5449681
5465319
5376200
5377541
5540909
5358960
5477985
5367461
5733376
5575609
5402002
5482488
5363695
5363293
5379639
5412137
5367902
5393802
5420789
5490760
5376095
5861107
5378470
5578581
5390774
5518967
5462107
5387988
5371860
5503131
5371821
5420093
5389731
5485668
5414629
5394642
5396099
5381696
5637001
5396823
5392754
5362632
5388955
5472386
5550003
5565996
5413017
5377674
5409977
5378504
