score,name
3.529411765,Anastassia Ailamaki
3.529411765,Yannis E. Ioannidis
3.470588235,Steven M. Gallo
3.470588235,Diederik M. Roijers
3.470588235,W J Kent
3.470588235,A. S. Tanenbaum
3.470588235,Bronis R. de Supinski
3.470588235,Jon M. Peha
3.411764706,Fahad Shahbaz Khan
3.411764706,Philip M. Papadopoulos
3.411764706,Daniel Keysers
3.411764706,Shuai Weng
3.411764706,Oren Etzioni
3.411764706,Yevgeniy Vorobeychik
3.411764706,Andrew Y. Ng
3.411764706,Steffen Staab
3.411764706,Deborah L. McGuinness
3.411764706,Manish Parashar
3.411764706,César Hervás-Martínez
3.411764706,Martin Styner
3.411764706,Kurt Geihs
3.352941176,Norha M. Villegas
3.352941176,Amit P. Sheth
3.352941176,Milind Tambe
3.352941176,W. Bruce Croft
3.352941176,Michael Sioutis
3.352941176,Jianke Zhu
3.352941176,Ian Miguel
3.352941176,Carmel Domshlak
3.352941176,Nasir Rajpoot
3.294117647,Joseph A. Insley
3.294117647,R Durbin
3.294117647,Cristian Lorenz
3.294117647,Michael J. Witbrock
3.294117647,Gustavo Alonso
3.235294118,Nicholas Roy
3.235294118,Tao Jiang
3.235294118,Saif M. Mohammad
3.176470588,Paul W Sternberg
3.176470588,Michael Benisch
3.176470588,Carole Goble
3.176470588,D Louis Collins
3.176470588,Rajeev Thakur
3.176470588,Bernt Schiele
3.117647059,Michael Montemerlo
3.117647059,Nick C Fox
3.117647059,Gail Binkley
3.117647059,Arnav Jhala
3.117647059,Ross D. King
3.117647059,Jeffrey D. Ullman
3.117647059,Marin Litoiu
3.117647059,Edith Elkind
3.058823529,Yuriy Brun
3.058823529,H. V. Jagadish
3.058823529,Atsuo Takanishi
3.058823529,Pedro C. Diniz
3.058823529,Nathan S. Netanyahu
3.058823529,Gary E. Christensen
3.058823529,Houqiang Li
3.0,Jeffrey S. Rosenschein
3.0,Hans-Michael Müller
3.0,Martin Rajchl
3.0,Maarten de Rijke
3.0,Roger K. Moore
3.0,Frank van Harmelen
2.941176471,Eva M. van Rikxoort
2.941176471,John Prager
2.941176471,Mark Riedl
2.941176471,R M Kuhn
2.941176471,Raghu Ramakrishnan
2.941176471,Jim Gray
2.941176471,Eric Horvitz
2.941176471,Dan Wu
2.941176471,P Flicek
2.941176471,Fabio Rinaldi
2.941176471,Eric A Hoffman
2.941176471,Anthony P. Reeves
2.882352941,Xavier Franch
2.882352941,Michael Wu
2.882352941,Alan R. Dennis
2.882352941,Michael Y. Galperin
2.882352941,Christine A. Orengo
2.882352941,Jesus Labarta
2.882352941,Rick L. Stevens
2.823529412,Philip A. Bernstein
2.823529412,Richard T. Watson
2.823529412,Cees de Laat
2.823529412,Anthony Stentz
2.764705882,Federico M. Sukno
2.764705882,Jan Peters
2.764705882,A REISS
2.764705882,Ré Christopher
2.764705882,Artur S. D'avila Garcez
2.764705882,Thomas Hofmann
2.764705882,Gregor Engels
2.764705882,John M. Hancock
2.764705882,Shimon Whiteson
2.764705882,Betty H. C. Cheng
2.764705882,Leslie Pack Kaelbling
2.764705882,Stephen Cranefield
2.764705882,Philip Heidelberger
2.705882353,Hans Tompits
2.705882353,David Botstein
2.705882353,Talal Rahwan
2.705882353,Rolf Apweiler
2.705882353,Joost van de Weijer
2.705882353,Rocco A. Servedio
2.647058824,Simone Paolo Ponzetto
2.647058824,Moe Thandar Wynn
2.647058824,D Karolchik
2.647058824,Lincoln D Stein
2.647058824,Peter T. Fox
2.647058824,Ivo Wolf
2.647058824,Freek Stulp
2.647058824,John H. L. Hansen
2.647058824,Karin Verspoor
2.588235294,Dietmar Jannach
2.588235294,William Stafford Noble
2.588235294,Raymond T. Ngt
2.588235294,Maurice Bruynooghe
2.588235294,Henri E. Bal
2.588235294,Joanna M Wardlaw
2.588235294,Alan Evans
2.588235294,Noam Nisan
2.588235294,Thomas Krennwallner
2.588235294,Ralph R. Martin
2.529411765,Hiroaki Kitano
2.529411765,M Schuster
2.529411765,Sonia Chernova
2.529411765,G Sherlock
2.529411765,Joseph E. Gonzalez
2.529411765,Matei Zaharia
2.529411765,Arkadii M. Slinko
2.529411765,Martin L. Kersten
2.529411765,Pedro Domingos
2.529411765,Danny Weyns
2.529411765,M L Ginsberg
2.529411765,M Stefanelli
2.529411765,Ernesto Damiani
2.470588235,Yolanda Gil
2.470588235,Eurie L. Hong
2.470588235,David W. Aha
2.470588235,Carlos Delgado Kloos
2.470588235,Eduard H. Hovy
2.470588235,David De Roure
2.470588235,Margo Seltzer
2.470588235,Cristina Silvano
2.470588235,Nevin .L Zhang
2.470588235,Tom Vercauteren
2.411764706,Nathan R. Sturtevant
2.411764706,Mark Dredze
2.411764706,Joos C. A. M. Buijs
2.411764706,Christopher K. I. Williams
2.411764706,William Whittaker
2.411764706,Jan Vanthienen
2.411764706,John Shawe-Taylor
2.411764706,Ian Horrocks
2.411764706,Diego Calvanese
2.411764706,Bernhard Nebel
2.411764706,Tobias Hildenbrand
2.352941176,Nanja J. J. M. Smets
2.352941176,Eduardo B. Fernandez
2.352941176,Tuan Pham
2.352941176,D Smedley
2.352941176,Christoph M. Flath
2.352941176,Ronald Veldema
2.352941176,Karl Tuyls
2.352941176,Kimberly Van Auken
2.352941176,Serge Abiteboul
2.352941176,polina golland
2.352941176,Moshe Y. Vardi
2.352941176,Dimitra Simeonidou
2.352941176,Mathias Prokop
2.352941176,et al.
2.352941176,Andreas Bender
2.352941176,Xavier Pennec
2.352941176,William E. Walsh
2.352941176,Emilio Frazzoli
2.352941176,M. Anis
2.352941176,Sridha Sridharan
2.294117647,Dennis Koelma
2.294117647,Stacia Engel
2.294117647,Casey M Bergman
2.294117647,Kevin M. Carter
2.294117647,Selina S. Dwight
2.294117647,Georg Gottlob
2.294117647,Bertram Ludäscher
2.294117647,Jesús M de la Cruz
2.294117647,Martin Schulz
2.294117647,Jean-Yves Tourneret
2.235294118,Kara Dolinski
2.235294118,Jessica A. Turner
2.235294118,Andreas Prlic
2.235294118,John Shalf
2.235294118,M. Six Silberman
2.235294118,Grigoris Antoniou
2.235294118,A S Zweig
2.235294118,Fabrizio Maria Maggi
2.235294118,Nicolas Le Novère
2.235294118,Adam Belloum
2.235294118,Kathrin Klamroth
2.235294118,Pradip Bose
2.235294118,Man-Wai Mak
2.235294118,David C. Parkes
2.235294118,Victor Lesser
2.235294118,Hunter P J
2.235294118,Christof Weinhardt
2.235294118,Max A. Viergever
2.176470588,Janan T. Eppig
2.176470588,Hendrik Zender
2.176470588,Maria C. Costanzo
2.176470588,Giorgio Metta
2.176470588,Lynette Hirschman
2.176470588,Jeffrey S. Dean
2.176470588,Zhiyong Lu
2.176470588,E. Huedo
2.176470588,David C. Van Essen
2.176470588,David S. Wishart
2.176470588,Umberto Castellani
2.176470588,Wolfgang Ecker
2.176470588,M. Elena Hernando
2.176470588,Dan Roth
2.176470588,Jalal Fadili
2.176470588,Rudi Studer
2.176470588,Allan Hanbury
2.176470588,Jiebo Luo
2.176470588,Achim Streit
2.176470588,J. Abraham
2.176470588,Hani Hagras
2.176470588,Mikel L. Forcada
2.176470588,Carlos Guestrin
2.117647059,Vitaly Lagoon
2.117647059,David Kennedy
2.117647059,Mark Hereld
2.117647059,Shawn Bowers
2.117647059,Thomas R. Furlani
2.117647059,Xavier Martorell
2.117647059,Christopher Jefferson
2.117647059,Henning Müller
2.117647059,K R Rosenbloom
2.117647059,Peter Bailis
2.117647059,Rakesh Agrawal
2.117647059,Judith A. Blake
2.117647059,Daphne Koller
2.117647059,Shane C. Burgess
2.117647059,Alain Destexhe
2.117647059,Mounia Lalmas
2.117647059,Luc Moreau
2.117647059,Brian B. Avants
2.117647059,Joao Marques-Silva
2.117647059,Óscar Corcho
2.117647059,Joseph S. Valacich
2.058823529,Piotr Faliszewski
2.058823529,Casimir Kulikowski
2.058823529,W. John Wilbur
2.058823529,Luís C. Lamb
2.058823529,Diogo R. Ferreira
2.058823529,H Clawson
2.058823529,Robert M MacCallum
2.058823529,Heidi Johansen-Berg
2.058823529,Julio Collado-vides
2.058823529,G P Barber
2.058823529,Oswaldo Trelles
2.058823529,Jürgen Schmidhuber
2.058823529,Udo Hahn
2.058823529,Heinrich Meyr
2.058823529,Reagan Moore
2.058823529,Gregor Von Laszewski
2.058823529,Ben Glocker
2.058823529,Chitta Baral
2.058823529,Dawn Song
2.058823529,Wamberto Weber Vasconcelos
2.058823529,Arnon Amir
2.058823529,Danelljan Martin
2.058823529,Bonnie J. Dorr
2.0,Rama Balakrishnan
2.0,B J Raney
2.0,Andrew A. Chien
2.0,Cuong Tran
2.0,Robert W. Wisniewski
2.0,Alonzo Kelly
2.0,Noel E. O'Connor
2.0,David C. Glahn
2.0,Ewa Deelman
2.0,Paola Inverardi
2.0,Juancarlos Chan
2.0,Georg Langs
2.0,J. Andrew Bagnell
2.0,T J P Hubbard
2.0,Russell Greiner
2.0,Jie Chen
2.0,Jason Leigh
2.0,Ian P. Gent
2.0,Theo Ungerer
2.0,Mark H. Burstein
2.0,Antonis C. Kakas
1.941176471,Michael Fairhurst
1.941176471,Richard McClatchey
1.941176471,Frank Bergmann
1.941176471,Josep Carmona
1.941176471,Bjoern H Menze
